country,year,unique_cpc_subclasses,diversification
IN,2015,299,0.223301
IN,2016,330,0.246453
IN,2017,346,0.258402
IN,2018,359,0.268111
IN,2019,385,0.287528
IN,2020,396,0.295743
IN,2021,395,0.294996
IN,2022,381,0.284541
IN,2023,374,0.279313
CN,2015,483,0.360717
CN,2016,501,0.37416
CN,2017,538,0.401792
CN,2018,528,0.394324
CN,2019,547,0.408514
CN,2020,566,0.422704
CN,2021,569,0.424944
CN,2022,576,0.430172
CN,2023,574,0.428678
US,2015,627,0.46826
US,2016,625,0.466766
US,2017,624,0.466019
US,2018,629,0.469754
US,2019,625,0.466766
US,2020,628,0.469007
US,2021,626,0.467513
US,2022,624,0.466019
US,2023,627,0.46826
KR,2015,478,0.356983
KR,2016,485,0.362211
KR,2017,487,0.363704
KR,2018,502,0.374907
KR,2019,521,0.389096
KR,2020,512,0.382375
KR,2021,511,0.381628
KR,2022,515,0.384615
KR,2023,499,0.372666
JP,2015,582,0.434653
JP,2016,566,0.422704
JP,2017,575,0.429425
JP,2018,572,0.427184
JP,2019,587,0.438387
JP,2020,585,0.436893
JP,2021,576,0.430172
JP,2022,570,0.425691
JP,2023,574,0.428678
DE,2015,575,0.429425
DE,2016,565,0.421957
DE,2017,571,0.426438
DE,2018,565,0.421957
DE,2019,574,0.428678
DE,2020,571,0.426438
DE,2021,566,0.422704
DE,2022,560,0.418223
DE,2023,568,0.424197
GB,2015,493,0.368185
GB,2016,495,0.369679
GB,2017,501,0.37416
GB,2018,531,0.396565
GB,2019,524,0.391337
GB,2020,508,0.379388
GB,2021,515,0.384615
GB,2022,517,0.386109
GB,2023,517,0.386109
TW,2015,454,0.339059
TW,2016,433,0.323376
TW,2017,473,0.353249
TW,2018,450,0.336072
TW,2019,459,0.342793
TW,2020,474,0.353996
TW,2021,470,0.351008
TW,2022,468,0.349515
TW,2023,453,0.338312
FR,2015,512,0.382375
FR,2016,503,0.375653
FR,2017,520,0.38835
FR,2018,528,0.394324
FR,2019,534,0.398805
FR,2020,512,0.382375
FR,2021,504,0.3764
FR,2022,509,0.380134
FR,2023,492,0.367438
BR,2015,199,0.148618
BR,2016,216,0.161314
BR,2017,250,0.186706
BR,2018,234,0.174757
BR,2019,256,0.191187
BR,2020,259,0.193428
BR,2021,252,0.1882
BR,2022,265,0.197909
BR,2023,237,0.176998
RU,2015,163,0.121733
RU,2016,181,0.135176
RU,2017,212,0.158327
RU,2018,204,0.152353
RU,2019,231,0.172517
RU,2020,224,0.167289
RU,2021,191,0.142644
RU,2022,203,0.151606
RU,2023,179,0.133682
ZA,2015,131,0.097834
ZA,2016,138,0.103062
ZA,2017,153,0.114264
ZA,2018,135,0.100822
ZA,2019,138,0.103062
ZA,2020,143,0.106796
ZA,2021,122,0.091113
ZA,2022,125,0.093353
ZA,2023,114,0.085138
