country,year,originality
BR,2015,0.0
BR,2016,0.069387
BR,2017,0.113095
BR,2018,0.143927
BR,2019,0.151337
BR,2020,0.197407
BR,2021,0.178071
BR,2022,0.208786
BR,2023,0.210152
CN,2015,0.070162
CN,2016,0.064503
CN,2017,0.10403
CN,2018,0.116922
CN,2019,0.146217
CN,2020,0.162297
CN,2021,0.176547
CN,2022,0.170637
CN,2023,0.175502
DE,2015,0.013307
DE,2016,0.06524
DE,2017,0.08983
DE,2018,0.131499
DE,2019,0.145923
DE,2020,0.164917
DE,2021,0.182279
DE,2022,0.192553
DE,2023,0.196368
FR,2015,0.08272
FR,2016,0.093876
FR,2017,0.094026
FR,2018,0.130074
FR,2019,0.145583
FR,2020,0.161944
FR,2021,0.177891
FR,2022,0.193232
FR,2023,0.203152
GB,2015,0.04439
GB,2016,0.085189
GB,2017,0.120145
GB,2018,0.132039
GB,2019,0.158235
GB,2020,0.175929
GB,2021,0.208689
GB,2022,0.216652
GB,2023,0.237253
IN,2015,0.033486
IN,2016,0.074453
IN,2017,0.093113
IN,2018,0.131238
IN,2019,0.16398
IN,2020,0.188656
IN,2021,0.202544
IN,2022,0.229266
IN,2023,0.234854
JP,2015,0.037735
JP,2016,0.059118
JP,2017,0.098167
JP,2018,0.118683
JP,2019,0.134985
JP,2020,0.149411
JP,2021,0.157588
JP,2022,0.161526
JP,2023,0.174404
KR,2015,0.035787
KR,2016,0.061096
KR,2017,0.097398
KR,2018,0.129925
KR,2019,0.151727
KR,2020,0.176441
KR,2021,0.19783
KR,2022,0.211228
KR,2023,0.226521
RU,2015,0.045455
RU,2016,0.092115
RU,2017,0.094048
RU,2018,0.129453
RU,2019,0.167968
RU,2020,0.17148
RU,2021,0.205621
RU,2022,0.217965
RU,2023,0.242871
TW,2015,0.03474
TW,2016,0.068477
TW,2017,0.09524
TW,2018,0.131316
TW,2019,0.163865
TW,2020,0.186137
TW,2021,0.19405
TW,2022,0.209603
TW,2023,0.209306
US,2015,0.073737
US,2016,0.104458
US,2017,0.147404
US,2018,0.183689
US,2019,0.214993
US,2020,0.242425
US,2021,0.259913
US,2022,0.274408
US,2023,0.290894
ZA,2015,0.0
ZA,2016,0.030649
ZA,2017,0.097162
ZA,2018,0.106143
ZA,2019,0.11172
ZA,2020,0.14702
ZA,2021,0.199891
ZA,2022,0.188276
ZA,2023,0.169572
