country,year,patent_count,global_share_pct
BR,2015,328,0.124
BR,2016,311,0.116
BR,2017,379,0.135
BR,2018,373,0.138
BR,2019,431,0.138
BR,2020,497,0.16
BR,2021,488,0.169
BR,2022,481,0.169
BR,2023,440,0.16
CN,2015,8745,3.305
CN,2016,11157,4.16
CN,2017,13994,4.975
CN,2018,15221,5.613
CN,2019,20086,6.425
CN,2020,22188,7.141
CN,2021,24108,8.361
CN,2022,27287,9.599
CN,2023,23348,8.487
DE,2015,16448,6.216
DE,2016,15847,5.909
DE,2017,16769,5.961
DE,2018,15972,5.89
DE,2019,18275,5.846
DE,2020,17772,5.72
DE,2021,16227,5.628
DE,2022,15926,5.603
DE,2023,13794,5.014
FR,2015,6579,2.486
FR,2016,6429,2.397
FR,2017,6812,2.422
FR,2018,6467,2.385
FR,2019,7236,2.315
FR,2020,7088,2.281
FR,2021,6372,2.21
FR,2022,6364,2.239
FR,2023,5529,2.01
GB,2015,6381,2.411
GB,2016,6404,2.388
GB,2017,6584,2.341
GB,2018,6582,2.427
GB,2019,7730,2.473
GB,2020,7363,2.37
GB,2021,7008,2.431
GB,2022,6897,2.426
GB,2023,6455,2.346
IN,2015,3343,1.263
IN,2016,3645,1.359
IN,2017,4142,1.472
IN,2018,4217,1.555
IN,2019,5370,1.718
IN,2020,5854,1.884
IN,2021,5919,2.053
IN,2022,6200,2.181
IN,2023,6528,2.373
JP,2015,51740,19.553
JP,2016,49088,18.304
JP,2017,48925,17.393
JP,2018,46820,17.267
JP,2019,52708,16.86
JP,2020,50838,16.361
JP,2021,45641,15.83
JP,2022,45242,15.916
JP,2023,38231,13.897
KR,2015,17910,6.768
KR,2016,19483,7.265
KR,2017,20702,7.36
KR,2018,19771,7.291
KR,2019,21673,6.933
KR,2020,21971,7.071
KR,2021,20705,7.181
KR,2022,21951,7.722
KR,2023,21750,7.906
RU,2015,442,0.167
RU,2016,510,0.19
RU,2017,543,0.193
RU,2018,534,0.197
RU,2019,629,0.201
RU,2020,674,0.217
RU,2021,657,0.228
RU,2022,663,0.233
RU,2023,501,0.182
TW,2015,11165,4.219
TW,2016,11028,4.112
TW,2017,11049,3.928
TW,2018,10336,3.812
TW,2019,10845,3.469
TW,2020,11435,3.68
TW,2021,10617,3.682
TW,2022,11259,3.961
TW,2023,11893,4.323
US,2015,141369,53.425
US,2016,144098,53.732
US,2017,151216,53.757
US,2018,144718,53.371
US,2019,167461,53.566
US,2020,164888,53.066
US,2021,150462,52.185
US,2022,141839,49.898
US,2023,146529,53.263
ZA,2015,163,0.062
ZA,2016,178,0.066
ZA,2017,180,0.064
ZA,2018,145,0.053
ZA,2019,181,0.058
ZA,2020,156,0.05
ZA,2021,121,0.042
ZA,2022,147,0.052
ZA,2023,108,0.039
