country,year,avg_pendency_years
BR,2015,4.0396
BR,2016,3.4984
BR,2017,3.3456
BR,2018,3.2842
BR,2019,3.174
BR,2020,3.3421
BR,2021,3.3197
BR,2022,3.3909
BR,2023,3.1955
CN,2015,3.047
CN,2016,2.8846
CN,2017,2.829
CN,2018,2.7733
CN,2019,2.7274
CN,2020,2.5511
CN,2021,2.5223
CN,2022,2.7393
CN,2023,2.5609
DE,2015,3.8411
DE,2016,3.6596
DE,2017,3.5672
DE,2018,3.4539
DE,2019,3.3352
DE,2020,3.2083
DE,2021,3.1998
DE,2022,3.3091
DE,2023,3.2387
FR,2015,4.003
FR,2016,3.7573
FR,2017,3.6706
FR,2018,3.6349
FR,2019,3.5474
FR,2020,3.4747
FR,2021,3.4005
FR,2022,3.4624
FR,2023,3.3957
GB,2015,3.9232
GB,2016,3.6503
GB,2017,3.5794
GB,2018,3.4447
GB,2019,3.4087
GB,2020,3.2614
GB,2021,3.1942
GB,2022,3.2465
GB,2023,3.1497
IN,2015,3.1885
IN,2016,2.9435
IN,2017,2.9039
IN,2018,2.8414
IN,2019,2.8778
IN,2020,2.6686
IN,2021,2.569
IN,2022,2.5795
IN,2023,2.4562
JP,2015,3.0491
JP,2016,2.8606
JP,2017,2.8178
JP,2018,2.7628
JP,2019,2.7729
JP,2020,2.699
JP,2021,2.7243
JP,2022,2.8747
JP,2023,2.772
KR,2015,3.0462
KR,2016,2.8161
KR,2017,2.7376
KR,2018,2.7592
KR,2019,2.7794
KR,2020,2.6176
KR,2021,2.5647
KR,2022,2.6467
KR,2023,2.5411
RU,2015,3.2353
RU,2016,3.1667
RU,2017,3.1473
RU,2018,2.9869
RU,2019,2.7949
RU,2020,2.7582
RU,2021,2.6941
RU,2022,2.8824
RU,2023,2.8922
TW,2015,2.3972
TW,2016,2.2495
TW,2017,2.1726
TW,2018,2.1109
TW,2019,2.0457
TW,2020,1.9639
TW,2021,2.0167
TW,2022,2.1427
TW,2023,2.1007
US,2015,3.0798
US,2016,2.8933
US,2017,2.8321
US,2018,2.7538
US,2019,2.7542
US,2020,2.6368
US,2021,2.6141
US,2022,2.666
US,2023,2.5417
ZA,2015,4.1779
ZA,2016,3.7978
ZA,2017,3.75
ZA,2018,3.5517
ZA,2019,3.9006
ZA,2020,3.5641
ZA,2021,3.0909
ZA,2022,3.4014
ZA,2023,3.3426
